rank 	EQ# 	ISeq# 	rel. E(el) (kJ/mol) ( hartree )
  1 	EQ 7  	ISeq 6 	   0.0000000 ( -2262.064134266976 )
  2 	EQ 1  	ISeq 2 	   3.1528499 ( -2262.062933409850 )
  3 	EQ 5  	ISeq 5 	  33.3712719 ( -2262.051423820688 )
  4 	EQ 4  	ISeq 4 	 100.0017963 ( -2262.026045594057 )
  5 	EQ 6  	ISeq 4 	 118.5597776 ( -2262.018977232223 )
  6 	EQ 0  	ISeq 1 	 179.2571318 ( -2261.995858830768 )
  7 	EQ 3  	ISeq 3 	 421.9869208 ( -2261.903407936020 )
  8 	EQ 2  	ISeq 3 	 425.9144512 ( -2261.901912018703 )
  9 	EQ 9  	ISeq 3 	 428.3305394 ( -2261.900991779290 )
 10 	EQ 8  	ISeq 7 	 430.0313822 ( -2261.900343962495 )
