rank 	EQ# 	ISeq# 	rel. E(el) (kJ/mol) ( hartree )
  1 	EQ 4  	ISeq 5  	   0.0000000 ( -2262.140944252145 )
  2 	EQ 3  	ISeq 4  	 202.4130233 ( -2262.063849202597 )
  3 	EQ 7  	ISeq 7  	 311.4653330 ( -2262.022313371122 )
  4 	EQ 9  	ISeq 9  	 349.3434330 ( -2262.007886364673 )
  5 	EQ 8  	ISeq 8  	 433.4761966 ( -2261.975841887133 )
  6 	EQ 10 	ISeq 10 	 588.7396551 ( -2261.916705158504 )
  7 	EQ 2  	ISeq 3  	 614.0689743 ( -2261.907057730259 )
  8 	EQ 6  	ISeq 2  	 620.7109254 ( -2261.904527944670 )
  9 	EQ 1  	ISeq 2  	 622.3137391 ( -2261.903917465171 )
 10 	EQ 5  	ISeq 6  	 623.6517972 ( -2261.903407825772 )
 11 	EQ 0  	ISeq 1  	 627.9888111 ( -2261.901755944393 )
 12 	EQ 11 	ISeq 2  	 629.6774002 ( -2261.901112794760 )
